numberOfViews,m,name,video_id,category,created,creator,location,length,actors0,actors1,actors2,actors3,actors4,user_id,fullname,age,gender,average_watch_time
0,0.265,Grease,43db22a9-6bc6-49f5-93a7-9e5a71693697,Pop,2013-06-14T13:17:51.746Z,Francis Ford Coppola,Mexico,22,Ivan Poschmann,Anja Peter,Jil Beck,Pit Benzing,Oke Mensing,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.455,All Night Long (All Night),44dd71ab-f187-4379-a6fe-714eb607634e,Blues,2001-03-29T14:44:57.663Z,Hayao Miyazaki,Mexico,19,Norman Gerschler,Melinda Reimann,Maike Koubaa,Liana Herrmann,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.705,April Showers,4514666c-c42e-4722-be45-8a568e11eaa8,Soul,2003-03-05T18:13:50.783Z,Hayao Miyazaki,Mexico,30,Janosch Östringer,Ivan Poschmann,Tiago Forkel,Damien Morhelfer,Prof. Dr. Mads Humbert,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,The Streak,467c5aff-21a5-4317-8bb2-dba13ef53d10,Hip Hop,2002-07-28T15:20:04.508Z,Martin Scorsese,Mexico,8,Zehra Donie,Charlotta Tischler,Oke Schultze,Franz Illing,Eva Wiechmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,Beautiful Day,48884b8a-d81b-4ba5-ad60-13ca622652ce,Latin,2008-02-11T23:16:26.323Z,Christopher Nolan,Mexico,5,Marc Nastvogel,Mirco Hartz,Sönke Mues,Maik Sagonas,Laureen Geissler,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.535,Sweet Georgia Brown,48ef99b1-f930-4e29-ac93-4da5e19882f7,Rock,2005-02-11T06:32:50.277Z,Alfred Hitchcock,Mexico,19,Julian Wollenberg,Norman Gerschler,Levin Balck,Vin Forst,Anja Peter,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.245,Single Ladies (Put A Ring On It),49cf2cf6-8522-4672-b461-7af2f8344441,Folk,2017-01-16T17:53:08.281Z,Hayao Miyazaki,Mexico,30,Elias Cordes,Hagen Spitzmüller,Peter Stolz,Maik Sagonas,Liana Herrmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.33,Walk Like an Egyptian,4b7b6cc0-25c1-4387-a94a-23c4645c8cc7,Stage And Screen,2008-05-08T05:41:50.239Z,Hayao Miyazaki,Mexico,26,Prof. Dr. Mads Humbert,Paul Klapper,Lian Komoll,Ina Ewald,Marc Nastvogel,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,1.58,Wayward Wind,4c47c840-6aea-42cd-8e2a-88645a91e679,Stage And Screen,2013-01-13T19:26:01.553Z,Francis Ford Coppola,Mexico,26,Hagen Spitzmüller,Mirco Hartz,Elia Geyer,Oke Mensing,Maik Balnuweit,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.955,My Love,4c6a9679-a53c-44b2-b908-80323e98d5fc,Pop,2015-05-12T08:31:50.732Z,Christopher Nolan,Mexico,20,Ivan Poschmann,Lene Philipp,Henrike Fricke,Emmely Rohrer,Alexia Lübke,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.66,(I've Got a Gal In) Kalamazoo,4d83e359-f4f9-4e85-9a6f-4eaaf5008586,Blues,2015-12-30T14:45:53.121Z,Quentin Tarantino,Mexico,15,Vin Forst,Lennie Mattern,Sebastian Greb,Norman Gerschler,Fiona Motzenbbäcker,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.39,Private Eyes,4d8d9f27-c166-4e8e-8162-f11f1051cada,Latin,2013-04-16T03:00:54.620Z,Hayao Miyazaki,Mexico,21,Tiago Forkel,Jens Will,Liana Herrmann,Sebastian Greb,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,Bridge Over Troubled Water,4ec38520-f872-405e-bc6e-932fc39e20f6,Jazz,2022-10-20T20:16:12.901Z,Francis Ford Coppola,Mexico,5,Eva Wiechmann,Anja Peter,Dr. Jolin Benzing,Loris Porsche,Ina Ewald,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.62,On Bended Knee,5053c6ce-9fe2-45f3-bfa9-fdc71151be98,Metal,2000-12-28T19:00:15.076Z,Steven Spielberg,Mexico,18,Hagen Spitzmüller,Dr. Paulina Ophey,Melinda Reimann,Maik Balnuweit,Jens Will,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,My Life,505f8a9f-e57c-4629-b5a7-5cc76c450498,Pop,2014-12-22T04:36:22.536Z,Quentin Tarantino,Mexico,24,Sebastian Greb,Sienna Schultz,Maik Sagonas,Thomas Holdt,Riccardo Tischmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.08,Under the Bridge,50b6035e-9322-4676-94f4-e7babeff5478,Funk,2014-05-06T02:02:48.637Z,Martin Scorsese,Mexico,7,Sebastian Greb,Leonora Mulrain,Frau Josephine Rittweg,Yunus Kaul,Neele Alizadeh,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.37,Dancing in the Dark,50da7aa0-0a52-4cdf-a908-b21bb0df9edd,Non Music,2000-11-03T00:01:13.924Z,Francis Ford Coppola,Mexico,21,Niclas Huth,Patrice Evers,Lynn Brinkmann,Charlotta Tischler,Denise Muckenthaler,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
1,1.04,Before The Next Teardrop Falls,53c16d04-bcbb-4af2-8e57-615ffc5cdb02,Funk,2014-03-06T08:05:00.287Z,Francis Ford Coppola,Mexico,18,Ron Manns,Ina Ewald,Luca Streese,Aliya Cors,Viktoria Blank,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,Mrs Brown You've Got a Lovely Daughter,5596e0a0-d7a2-431c-8399-27d1fcbba881,Hip Hop,2022-04-01T08:36:18.545Z,Alfred Hitchcock,Mexico,24,Lennie Mattern,Maik Sagonas,Theresa Pressler,Peter Stolz,Elias Cordes,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.265,Don't Be Cruel,5720b705-3319-4e10-a119-35e6edda6e11,Hip Hop,2007-01-01T08:17:45.639Z,Francis Ford Coppola,Mexico,30,Lynn Brinkmann,Lennie Mattern,Melinda Reimann,Theresa Pressler,Frau Josephine Rittweg,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.16,Mr Brightside,5783da25-b005-4171-aab9-3d1140a3b789,Blues,2020-09-08T04:55:04.179Z,Spike Lee,Mexico,9,Melinda Reimann,Maike Koubaa,Maryam Briesenick,Aliya Cors,Sienna Schultz,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.1,Temperature,5968fa81-9437-4a25-bb5d-271906616cc6,Hip Hop,2017-10-13T01:09:53.649Z,James Cameron,Mexico,1,Paul Klapper,Lennie Mattern,Mirco Hartz,Neele Alizadeh,Luca Streese,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.455,Paperback Writer,59ed040e-2fcb-4568-8b70-683a91972ea4,Latin,2005-10-27T04:20:12.183Z,Francis Ford Coppola,Mexico,13,Patrice Evers,Franz Illing,Fiona Motzenbbäcker,Prof. Dr. Tom Zahn,Dr. Paulina Ophey,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
